SystematicID,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
SPBC21H7.07c,50.19145787,-3.342244485,0.845252587,-3.954136948,7.68E-05,0.000302487
SPBC23E6.09,18.38414956,-6.46025281,1.457200777,-4.433330611,9.28E-06,4.65E-05
SPBC23G7.08c,50.8581844,-3.85363852,0.534027105,-7.216185247,5.35E-13,1.46E-11
SPBC23G7.13c,18.84764011,-4.948734661,1.114086589,-4.441965921,8.91E-06,4.51E-05
SPBC24C6.05,18.97540392,-6.313396218,1.421676363,-4.440811133,8.96E-06,4.51E-05
SPBC25D12.02c,46.95503517,-3.993518414,0.584139893,-6.836578804,8.11E-12,1.64E-10
SPBC25H2.10c,85.17332515,-2.724161504,0.623136804,-4.371690915,1.23E-05,5.95E-05
SPBC26H8.05c,432.8112218,-2.361065538,0.46708726,-5.054870338,4.31E-07,2.89E-06
SPBC27B12.08,42.86344916,-3.626488514,0.882297523,-4.110278471,3.95E-05,0.000169792
SPBC27B12.10c,18.47836362,-4.305783583,1.278719223,-3.367262731,0.000759183,0.002323041
SPBC28E12.03,82.94333399,-2.513746939,0.399612109,-6.290467392,3.17E-10,4.76E-09
SPBC28F2.10c,20.43960359,-5.602431183,1.347729892,-4.156939174,3.23E-05,0.000140716
SPBC29A10.01,25.65415836,-2.947051595,0.884537882,-3.33174153,0.000863044,0.002605021
SPBC29A10.07,58.70274975,-7.257004854,1.113893426,-6.514990291,7.27E-11,1.21E-09
SPBC29A10.13,29.33474013,-3.68183607,0.978149594,-3.764082807,0.000167161,0.000604771
SPBC29A3.01,50.86469274,-3.43704968,0.885561012,-3.881211608,0.000103937,0.000397257
SPBC29A3.03c,39.85892444,-3.373210022,0.671029605,-5.026916843,4.98E-07,3.30E-06
SPBC29A3.08,56.29366989,-2.562484609,0.752637402,-3.404673489,0.000662432,0.002073845
SPBC2A9.06c,45.01493016,-4.358048699,0.709272582,-6.144391891,8.03E-10,1.09E-08
SPBC2F12.03c,74.98993614,-5.18085499,0.680603766,-7.612145635,2.70E-14,9.54E-13
SPBC2F12.11c,34.82669376,-5.030593536,0.850506612,-5.914820022,3.32E-09,3.76E-08
SPBC2F12.12c,13.14957536,-3.101259626,0.999366377,-3.103225901,0.001914235,0.005227933
SPBC2G2.01c,29.68127613,-4.207059466,0.920831251,-4.568762693,4.91E-06,2.62E-05
SPBC2G2.02,167.0312064,-2.269494735,0.236078295,-9.613313798,7.03E-22,7.20E-20
SPBC2G2.03c,34.86538793,-4.602860538,0.840744917,-5.474740847,4.38E-08,3.62E-07
SPBC2G5.06c,51.4695895,-2.881003514,0.655138583,-4.397548223,1.09E-05,5.37E-05
SPBC30B4.01c,614.3272984,-2.019790824,0.47211138,-4.278208295,1.88E-05,8.75E-05
SPBC30D10.10c,32.60090287,-4.363354988,0.742667754,-5.875244975,4.22E-09,4.58E-08
SPBC30D10.16,46.82963361,-3.203446578,0.528842901,-6.057463518,1.38E-09,1.77E-08
SPBC31E1.02c,51.23664706,-2.315402154,0.475985354,-4.864439913,1.15E-06,7.05E-06
SPBC31F10.14c,45.83300203,-2.817347477,0.643992503,-4.374814092,1.22E-05,5.88E-05
SPBC32F12.05c,17.53793527,-5.23906273,1.354959235,-3.866583286,0.000110371,0.000418764
SPBC32F12.11,45.81540075,-3.83654457,0.703866069,-5.450674125,5.02E-08,4.05E-07
SPBC336.13c,15.37301008,-3.920652647,1.077635149,-3.638200415,0.00027455,0.000952364
SPBC337.13c,39.34036788,-3.289389177,0.618811599,-5.315655334,1.06E-07,7.98E-07
SPBC337.16,56.36950259,-4.440243424,0.65333704,-6.796252395,1.07E-11,2.13E-10
SPBC342.01c,30.50803594,-4.096453378,0.790336044,-5.183179243,2.18E-07,1.55E-06
