Gene,FC_2d,FC_21d
SPAC19D5.04,2.227014,2.287614
SPBC20F10.10,2.208382,2.190267
SPCC548.03c,2.159,2.170256
SPAC1399.01c,2.187841,2.26018
SPAC4F8.12c,2.171486,2.255163
SPCC1281.01,2.129687,2.230806
SPCC1919.14c,2.253916,2.113098
SPBC1604.14c,2.238959,2.080615
SPAC5D6.09c,2.183697,2.067116
SPAC1093.01,2.191945,2.040752
SPBC336.03,2.182081,2.026454
SPBC31F10.10c,2.163486,2.032183
SPBC725.11c,2.297353,2.487451
SPAC23G3.02c,2.237445,2.533846
SPAC869.10c,2.237479,2.381217
SPAC12B10.01c,2.165798,2.320592
SPAC2F3.08,2.164384,2.389829
SPAC56F8.02,2.158749,2.365319
SPAC3H5.09c,2.075099,2.540683
SPBC660.09,2.047894,2.535606
SPBCPT2R1.08c,2.031474,2.621807
SPAC24B11.05,1.976038,2.579104
SPCC1795.10c,2.082731,2.156706
SPAC4D7.02c,2.057657,2.182435
SPBC32H8.13c,1.975077,2.179928
SPBC725.03,1.939998,2.152393
SPACUNK12.02c,2.107876,2.419633
SPBC947.13,2.092062,2.347004
SPBC3H7.02,2.03463,2.289469
SPAC17A5.18c,2.042603,2.326757
SPBC713.06,2.015149,2.346133
SPBC8D2.03c,1.93981,2.388682
SPAC31G5.12c,1.927702,2.304834
SPAC6F12.02,1.862648,2.365675
SPBP8B7.04,1.853309,2.305901
SPBC146.01,1.879807,2.504745
SPBC1685.07c,1.868917,2.516263
SPBPB2B2.05,1.798161,2.542312
SPBC14C8.01c,1.756827,2.537639
SPBPB2B2.02,1.756591,2.762144
SPBC106.13,1.739357,2.281991
SPCC1682.09c,1.709536,2.171028
SPBC29A10.14,1.661514,2.149448
SPAC2G11.13,1.647615,2.088579
SPAC9E9.09c,1.583874,2.147126
SPCC576.04,1.616285,2.276178
SPAC25G10.01,1.577956,2.244871
SPBC19C2.11c,1.576542,2.241139
SPAC1D4.11c,1.553622,2.216645
SPBC31E1.01c,1.542081,2.206497
SPBC36B7.05c,1.522736,2.226968
SPCC16A11.08,1.618824,2.446496
SPBP35G2.11c,1.599237,2.349884
SPAC57A7.05,1.522885,2.38046
SPCC830.02,1.492177,2.368792
SPBC1773.03c,1.332318,3.153773
SPBC8E4.02c,1.30455,2.986409
SPAPB1A11.01,1.078899,2.838124
SPCC18B5.03,1.358368,2.371747
SPAC57A10.05c,1.322876,2.474473
SPAC11D3.16c,1.361637,2.542475
SPAC22F3.03c,1.346793,2.604597
SPCC1827.07c,1.252273,2.592922
SPCC306.10,1.097976,2.538141
SPAC4H3.04c,1.086252,2.472083
SPBC1271.07c,1.042944,2.608721
SPAC4G9.19,0.946339,2.382182
SPBC3E7.02c,2.915927,1.146304
SPAC26H5.08c,2.729812,1.525163
SPCC417.05c,2.655376,1.631004
SPAC17C9.16c,2.528974,1.561651
SPCC24B10.13,2.621577,1.426245
SPAPB1A10.14,2.562222,1.388116
SPBC4B4.08,2.513298,1.351447
SPCC794.01c,2.514229,1.430137
SPBC409.08,2.53922,1.11484
SPBC25B2.02c,2.301171,1.09178
SPCC11E10.01,2.29637,1.134111
SPAC824.08,2.258462,1.284221
SPCC1682.12c,2.173292,1.442636
SPAC22F8.02c,2.15763,1.456281
SPAC7D4.03c,2.156705,1.488817
SPAC30D11.01c,2.114338,1.361988
SPAC17G6.11c,2.065639,1.051145
SPBC19C2.09,2.003455,1.062653
SPBC56F2.08c,2.025327,1.38274
SPBC651.08c,2.006897,1.437946
SPCC1223.13,1.918318,1.369157
SPBC21D10.09c,1.906928,1.382895
SPBC83.13,1.96989,1.261213
SPAC13G7.04c,1.906096,1.277803
SPBC14C8.02,1.823558,1.309021
SPCC1393.13,1.803897,1.294226
SPCC1682.15,1.820159,1.265945
SPCC1183.12,1.803812,1.268898
SPAC1250.01,2.217797,1.913343
SPAC17G8.11c,2.200336,1.987351
SPAC1399.02,2.158153,1.946695
SPAC6F6.01,2.112428,1.918505
SPAC144.13c,2.069429,1.957844
SPAC24B11.12c,2.13587,1.857372
SPBC2D10.06,2.069794,1.846211
SPAC19B12.03,2.221405,1.659801
SPAPB2B4.07,2.23952,1.771355
SPAC22F8.04,2.199587,1.795772
SPBC29A3.08,2.198242,1.837235
SPAC4F8.13c,2.194839,1.819201
SPAC1F7.03,2.074145,1.569516
SPCC1322.14c,2.058494,1.636064
SPCC1840.02c,2.024242,1.610331
SPAC3F10.11c,2.017335,1.629941
SPAPB1E7.08c,2.060441,1.728249
SPAC1093.06c,2.0241,1.694367
SPAC328.03,1.99588,1.687631
SPBC119.04,2.025158,2.057124
SPCC297.03,1.98929,2.00098
SPAC24H6.11c,1.95101,1.913543
SPCC4F11.02,1.947929,1.901002
SPAC1687.22c,1.948908,1.938725
SPCC962.01,1.949773,1.981541
SPCC1620.14c,1.932931,1.971774
SPBC1271.05c,1.910672,1.984107
SPBC3B9.06c,1.930862,2.067943
SPBC839.02,1.899896,2.050661
SPBC646.12c,1.887853,2.114385
SPCC1682.11c,1.839019,2.092432
SPCC1393.02c,1.866051,2.001553
SPAC3A12.19,1.858006,2.041638
SPAC458.04c,1.788781,1.99546
SPCC663.01c,1.917424,1.729108
SPCC74.06,1.903133,1.718251
SPAC6B12.07c,1.935622,1.823172
