Gene,FC_2d,FC_21d
SPAC2F7.17,-1.267771,-2.172097
SPAC25H1.05,-1.269277,-2.151315
SPBC31F10.15c,-1.322791,-2.147639
SPBC342.06c,-1.365506,-2.206811
SPAC4F8.03,-1.390647,-2.194193
SPBC215.10,-1.393402,-2.068736
SPBC16D10.09,-1.443444,-2.083616
SPBC4F6.14,-1.438298,-2.026183
SPBC2D10.19c,-1.400993,-2.329845
SPBC3H7.14,-1.471256,-2.221798
SPAC17H9.09c,-1.50915,-2.171492
SPBC24C6.11,-1.539446,-2.258193
SPCC4G3.17,-1.600985,-2.244126
SPCC23B6.02c,-1.230989,-2.518905
SPAPB18E9.05c,-1.314128,-2.572854
SPBC1734.06,-1.326498,-2.62152
SPBC1711.05,-1.439877,-2.52567
SPAC222.16c,-1.506547,-2.426371
SPBC16A3.06,-1.579479,-2.506681
SPAC24C9.04,-1.637813,-2.513508
SPBC16A3.04,-1.553581,-2.061559
SPBC3D6.05,-1.593488,-2.023704
SPAC977.11,-1.63988,-2.095262
SPAC22F3.07c,-1.667998,-2.102419
SPAC23D3.02,-1.673134,-2.089112
SPCC1281.03c,-1.698628,-2.150523
SPAC6F12.13c,-1.701309,-1.911217
SPBC13A2.03,-1.703771,-1.935759
SPBC106.15,-1.716734,-1.981963
SPBC1709.09,-1.755099,-1.946729
SPBC25B2.06c,-1.765977,-1.925786
SPAC25G10.02,-1.773922,-1.938173
SPAC11H11.02c,-1.78303,-1.917542
SPAC1851.02,-1.809235,-1.936057
SPBC660.14,-1.766945,-2.09369
SPBC27.06c,-1.794693,-2.037536
SPBC1703.01c,-1.824875,-2.028882
SPAC3G9.06,-1.852923,-2.044678
SPCC18B5.04,-1.870824,-2.057889
SPAC19B12.06c,-1.742517,-2.298991
SPBC26H8.03,-1.769992,-2.343997
SPAC16E8.15,-1.784676,-2.356152
SPAC19A8.11c,-1.814872,-2.269218
SPBC20F10.01,-1.88286,-2.258921
SPAC56F8.04c,-1.915475,-2.223604
SPBC25H2.05,-1.932495,-2.195166
SPCC4B3.12,-1.57505,-1.760848
SPAC3F10.18c,-1.558117,-1.818217
SPCC1840.07c,-1.593587,-1.813814
SPAC9G1.04,-1.629913,-1.787302
SPBC577.03c,-1.670891,-1.801411
SPAC15A10.08,-1.606402,-1.925741
SPAC644.15,-1.644771,-1.946728
SPBC17G9.07,-1.642164,-1.857405
SPBC19C2.15c,-1.652877,-1.864683
SPBC9B6.05c,-1.667808,-1.855427
SPBC887.01,-1.668786,-1.837103
SPBC16G5.01,-1.705168,-1.850053
SPCC126.10,-1.717841,-1.865941
SPAC20G4.01,-1.653232,-1.677741
SPBC365.01,-1.656243,-1.705462
SPAC4G9.06c,-1.666638,-1.714072
SPCC970.10c,-1.693505,-1.671254
SPAC6G9.07c,-1.702838,-1.668483
SPAPB1E7.01c,-1.709843,-1.740367
SPBC651.10,-1.742148,-1.67385
SPBC21.04,-1.753799,-1.676039
SPCC18.08,-1.739889,-1.777228
SPAC212.08c,-1.77177,-1.806452
SPAC823.10c,-1.777446,-1.764558
SPBC25D12.03c,-1.773644,-1.751293
