Gene,FC_2d,p.adj_2d,FC_21d,p.adj_21d,,,,,,
SPAC15E1.02c,3.365313717,2.44E-118,2.905205526,3.89E-97,,,,,,
SPAC15E1.03,-1.094332443,1.96E-11,-0.873649467,3.23E-21,,,,,,
SPAC15E1.08,-1.220147021,1.44E-07,-1.098125,4.05E-08,,,,,,
SPAC15E1.09,0.913607677,3.92E-07,1.014776789,1.59E-09,,,,,,
SPAC15E1.10,1.384812667,5.54E-08,2.087022498,4.41E-22,,,,,,
SPAC15F9.03c,-1.188741511,7.58E-13,-1.185353197,6.77E-18,,,,,,
SPAC16.01,1.238222852,1.43E-12,1.263796218,5.03E-15,,,,,,
SPAC16.03c,-1.050213744,1.50E-08,-0.924101429,9.39E-09,,,,,,
SPAC16.05c,6.034374898,3.97E-114,4.065706592,0,,,,,,
SPAC1610.01,-1.901879836,1.67E-05,-1.184249562,0.000139209,,,,,,
SPAC1610.04,-1.504953486,2.62E-08,-0.894408089,5.10E-07,,,,,,
SPAC1639.02c,1.456834014,7.15E-24,2.17791779,1.62E-77,,,,,,
SPAC167.05,0.958678664,3.89E-10,1.290008442,9.88E-30,,,,,,
SPAC167.07c,0.939612775,2.72E-07,1.637602103,4.79E-35,,,,,,
SPAC167.08,-1.056138643,0.420308384,1.455747188,0.123196994,,,,,,
SPAC167.09,-1.764805136,8.55E-07,-1.536821386,2.49E-05,,,,,,
SPAC1687.01,-1.269302484,1.69E-05,-1.69122081,1.45E-12,,,,,,
SPAC1687.07,2.612691015,5.32E-37,2.712285508,3.81E-45,,,,,,
SPAC1687.08,1.161975888,2.67E-05,1.252865786,2.87E-06,,,,,,
SPAC1687.09,1.356257728,5.11E-23,1.158675419,8.11E-30,,,,,,
SPAC1687.22c,1.948907506,1.56E-44,1.938725423,7.27E-74,,,,,,
SPAC16A10.01,4.300395933,7.43E-161,3.418678867,7.23E-193,,,,,,
SPAC16A10.04,-1.18508877,4.01E-09,-0.983993627,2.10E-07,,,,,,
SPAC16C9.01c,-0.829643605,0.002121536,-1.324805442,5.18E-06,,,,,,
SPAC16C9.07,-0.920628922,0.000318451,-1.235360945,1.34E-13,,,,,,
SPAC16E8.01,1.373451874,9.39E-20,1.86725371,3.71E-34,,,,,,
SPAC16E8.02,0.354736133,0.278921177,1.002007086,6.15E-06,,,,,,
SPAC16E8.03,0.524999304,0.137452923,1.475564262,3.93E-10,,,,,,
SPAC16E8.04c,-2.168447342,8.18E-08,-2.447509671,3.32E-10,,,,,,
SPAC16E8.10c,-1.60331528,1.34E-08,-1.578018991,1.00E-19,,,,,,
SPAC16E8.15,-1.784675869,8.61E-36,-2.356151968,1.08E-74,,,,,,
SPAC16E8.16,2.06197094,1.29E-25,2.810942829,9.36E-67,,,,,,
SPAC16E8.18,-0.862558876,0.001042313,-1.469650403,2.15E-07,,,,,,
SPAC16E8.18c,-1.079338063,0.000288288,-1.205972241,4.01E-05,,,,,,
SPAC1705.02,-1.786806782,9.11E-06,-1.016740455,0.004510304,,,,,,
SPAC1751.01c,3.879173707,3.26E-71,4.773669642,9.90E-269,,,,,,
SPAC1751.02c,-1.941853097,8.04E-13,-1.684443952,2.43E-11,,,,,,
SPAC1751.03,-1.028950036,1.71E-16,-1.694415965,5.16E-49,,,,,,
SPAC1782.02c,-0.60261213,0.009090382,-1.064298476,1.06E-06,,,,,,
SPAC1782.05,-0.943571228,0.000194006,-1.355163141,6.90E-08,,,,,,
SPAC1782.07,-1.302565568,2.25E-14,-1.420319035,3.60E-21,,,,,,
SPAC1782.10c,-0.292991898,0.047279171,-1.148437838,1.44E-11,,,,,,
SPAC1782.11,-2.261257572,0.043351743,-3.058215008,0.017733805,,,,,,
SPAC1782.12c,-1.025915463,0.002245446,-0.744157751,0.000400621,,,,,,
SPAC1783.02c,-2.736598203,0.023293892,-2.825015893,0.03189053,,,,,,
SPAC1783.03,-1.456546212,1.61E-06,-1.451753162,4.36E-07,,,,,,
SPAC1783.07c,1.608714967,1.75E-36,1.986147031,3.90E-78,,,,,,
SPAC1786.04,2.440090648,7.02E-05,2.412997346,0.000168182,,,,,,
SPAC17A2.01,-2.630928618,1.29E-60,-1.973640944,3.13E-50,,,,,,
SPAC17A2.04c,-0.992030008,2.91E-06,-1.259712142,9.75E-11,,,,,,
SPAC17A2.07c,1.352794866,1.65E-06,1.025060917,0.000121366,,,,,,
SPAC17A2.09c,5.474248682,4.89E-192,5.527043007,3.00E-282,,,,,,
SPAC17A2.10c,7.494029665,9.15E-86,8.254081444,5.85E-106,,,,,,
SPAC17A2.11,0.054471761,0.89897842,1.893752906,9.34E-10,,,,,,
SPAC17A2.12,0.859212872,0.00157603,1.34188338,4.03E-20,,,,,,
SPAC17A5.08,-1.090583371,1.24E-11,-1.236815689,1.96E-20,,,,,,
SPAC17A5.10,1.66356026,2.37E-19,1.575433067,3.99E-22,,,,,,
SPAC17A5.15c,-1.004229102,1.85E-10,-1.53186956,1.00E-30,,,,,,
SPAC17A5.18c,2.042602617,2.78E-05,2.326756589,2.05E-08,,,,,,
SPAC17A5.19,-1.230897896,0.002203717,-0.459474894,0.217268614,,,,,,
