Gene,FC_2d,p.adj_2d,FC_21d,p.adj_21d,,,,,,
SPAC4G9.06c,-1.666637633,0.198500399,-1.714072238,0.236166127,,,,,,
SPAC4G9.07,-1.334736769,0.007340171,-0.891117584,0.060982616,,,,,,
SPAC4G9.14,-1.417660055,7.43E-09,-1.556461059,5.76E-11,,,,,,
SPAC4G9.15,-0.767658474,0.000134986,-1.061035494,1.24E-13,,,,,,
SPAC4G9.17c,-1.043535986,4.39E-07,-0.70796594,0.00015133,,,,,,
SPAC4G9.19,0.946339327,7.44E-05,2.382181603,2.52E-42,,,,,,
SPAC4G9.20c,0.272246812,0.109314379,1.240091719,2.07E-30,,,,,,
SPAC4G9.22,3.964169578,1.28E-197,5.108279689,0,,,,,,
SPAC4H3.03c,2.943962187,7.89E-87,3.07228997,6.76E-74,,,,,,
SPAC4H3.04c,1.086252238,6.10E-05,2.472083013,4.80E-37,,,,,,
SPAC4H3.06,-2.49690839,3.76E-12,-3.029637203,3.17E-13,,,,,,
SPAC4H3.09,-1.081683698,4.41E-06,-0.612734083,0.005573028,,,,,,
SPAC4H3.12c,-1.03666791,NA,-1.04486776,0.489780174,,,,,,
SPAC4H3.14c,-0.612525865,0.001242644,-1.435926116,1.82E-13,,,,,,
SPAC4H3.16,-1.297845875,0.324756049,-1.313120083,0.378349302,,,,,,
SPAC513.05,-1.188127653,0.221505672,-1.044228864,0.312506805,,,,,,
SPAC513.07,-0.601155585,0.029200411,-1.564044313,4.58E-21,,,,,,
SPAC521.04c,1.604369854,4.49E-29,1.622616229,8.38E-39,,,,,,
SPAC56E4.07,-1.180642257,1.85E-09,-1.100747965,1.51E-09,,,,,,
SPAC56F8.02,2.158748722,2.68E-48,2.365318666,2.27E-91,,,,,,
SPAC56F8.04c,-1.915474938,4.61E-22,-2.223604383,1.22E-26,,,,,,
SPAC56F8.05c,-1.46282176,3.22E-05,-3.651748741,3.53E-10,,,,,,
SPAC56F8.08,-1.986749945,4.27E-25,-1.570470557,4.96E-32,,,,,,
SPAC56F8.10,-0.830463107,2.44E-08,-1.617888544,4.18E-33,,,,,,
SPAC56F8.15,3.532224116,4.34E-64,4.846981084,5.22E-53,,,,,,
SPAC56F8.16,4.317696266,1.10E-226,5.159706824,2.38E-168,,,,,,
SPAC57A10.03,-1.236474109,0.001650453,-0.727896701,0.047075104,,,,,,
SPAC57A10.05c,1.322875799,3.59E-21,2.474473472,4.58E-103,,,,,,
SPAC57A10.06,-2.611306932,0.000123691,0.377749151,0.389897568,,,,,,
SPAC57A10.07,-1.216885798,5.77E-09,-0.967506803,3.66E-09,,,,,,
SPAC57A10.10c,-1.254722868,2.87E-20,-2.276059711,1.21E-74,,,,,,
SPAC57A10.12c,-0.127753018,0.646823197,-1.497754281,3.94E-50,,,,,,
SPAC57A10.14,-1.211519205,4.68E-06,-0.572298187,0.015155891,,,,,,
SPAC57A7.05,1.522885085,6.70E-28,2.380459826,1.88E-122,,,,,,
SPAC57A7.08,1.139153976,1.29E-13,1.35259421,9.00E-28,,,,,,
SPAC57A7.09,1.547502119,8.12E-25,1.856466018,9.12E-52,,,,,,
SPAC589.04,-1.935143657,3.90E-17,-2.5557721,4.30E-31,,,,,,
SPAC589.09,-1.240729193,8.39E-08,-1.060117473,7.33E-11,,,,,,
SPAC5D6.04,1.804746878,2.22E-28,1.70673061,8.81E-50,,,,,,
SPAC5D6.05,-0.778465828,5.56E-05,-1.184313034,1.22E-09,,,,,,
SPAC5D6.09c,2.183697182,6.57E-16,2.067116337,8.34E-28,,,,,,
SPAC5H10.03,-1.169365588,2.77E-05,-0.96543563,5.63E-13,,,,,,
SPAC5H10.08c,-1.563501633,2.13E-14,-0.935225927,8.18E-09,,,,,,
SPAC5H10.09c,-1.43713079,0.001573115,-0.949868838,0.030923851,,,,,,
SPAC5H10.11,-3.155286749,0.000336343,0.207147521,0.709889898,,,,,,
SPAC5H10.12c,-2.234457941,4.08E-07,-1.497951181,0.000297295,,,,,,
SPAC607.03c,-1.133217688,9.84E-16,-1.493201635,3.55E-17,,,,,,
SPAC607.05,-0.897317381,4.63E-08,-1.028110072,2.74E-16,,,,,,
SPAC607.09c,0.910852973,1.48E-05,1.423249869,6.36E-16,,,,,,
SPAC630.04c,2.485337487,1.10E-52,3.138243508,1.77E-124,,,,,,
SPAC630.10,-1.202576255,1.35E-08,-2.051659403,1.97E-17,,,,,,
SPAC631.02,2.46782461,1.56E-45,2.515230535,1.32E-156,,,,,,
SPAC637.03,3.246972246,1.06E-59,2.860239637,2.39E-46,,,,,,
SPAC637.08,-2.733697896,5.39E-05,-3.050897633,5.45E-05,,,,,,
SPAC637.11,-1.525396989,0.07419642,-1.938722343,0.042537781,,,,,,
SPAC644.04,-0.685481544,0.000326313,-1.122902544,2.12E-11,,,,,,
SPAC644.06c,1.45140154,2.04E-25,1.092961848,1.56E-17,,,,,,
SPAC644.09,-1.378977721,5.41E-09,-1.067590074,9.62E-07,,,,,,
SPAC644.15,-1.644771489,1.67E-25,-1.946728065,7.62E-63,,,,,,
SPAC652.01,-0.208803074,0.591782309,-1.308261287,0.000974596,,,,,,
SPAC664.01c,-1.030696983,2.19E-12,-1.442202894,4.73E-24,,,,,,
SPAC664.05,0.804558628,0.000622373,1.052334211,1.39E-29,,,,,,
SPAC664.11,-0.375695543,0.097410785,-1.054233093,7.06E-23,,,,,,
SPAC664.12c,0.49513795,0.016448698,1.09661932,6.62E-12,,,,,,
SPAC664.14,-0.653974194,0.008303691,-1.094155109,2.78E-06,,,,,,
SPAC688.02c,-1.27152527,1.49E-05,-0.645623606,0.004748971,,,,,,
SPAC688.03c,1.35088332,1.38E-10,1.623784337,9.91E-17,,,,,,
SPAC688.04c,2.482921929,1.69E-78,2.14697685,2.44E-43,,,,,,
SPAC688.07c,1.041678279,3.13E-16,1.017671314,2.93E-22,,,,,,
SPAC688.10,0.567939108,0.000464905,1.175076699,3.58E-20,,,,,,
SPAC688.16,-1.265054957,2.55E-06,-1.26319152,2.18E-07,,,,,,
SPAC694.04c,-2.994263138,0.003687006,-1.91326259,0.051737773,,,,,,
SPAC6B12.02c,1.673774425,1.14E-32,1.532631146,4.35E-38,,,,,,
SPAC6B12.03c,5.693796033,1.15E-50,5.616648201,5.55E-49,,,,,,
SPAC6B12.07c,1.935622128,1.34E-55,1.823171507,4.38E-45,,,,,,
SPAC6B12.08,0.798273169,1.11E-06,1.00364725,4.10E-13,,,,,,
SPAC6B12.09,-0.771427355,9.85E-05,-1.110605312,2.96E-08,,,,,,
SPAC6B12.11,-0.867527502,1.21E-05,-1.197077364,3.76E-12,,,,,,
SPAC6B12.12,-0.526000557,4.05E-05,-1.185599729,5.62E-28,,,,,,
SPAC6C3.03c,4.839195317,2.67E-35,4.524728915,1.73E-33,,,,,,
SPAC6C3.08,-1.235802191,3.63E-08,-1.043676266,2.39E-07,,,,,,
SPAC6C3.09,-0.899852311,9.68E-08,-1.019635586,5.24E-13,,,,,,
SPAC6F12.02,1.862648175,5.75E-43,2.365675157,1.79E-117,,,,,,
SPAC6F12.03c,1.019167878,3.12E-09,1.486131704,9.27E-25,,,,,,
SPAC6F12.06,-1.413121268,1.19E-07,-1.566678173,2.88E-10,,,,,,
SPAC6F12.07,-1.780562147,1.49E-07,-1.257163052,8.82E-05,,,,,,
SPAC6F12.13c,-1.701308704,3.12E-40,-1.911217332,4.73E-73,,,,,,
SPAC6F6.01,2.112427825,1.29E-55,1.918504556,1.62E-53,,,,,,
SPAC6F6.05,-0.898141606,2.26E-06,-1.14001995,1.33E-10,,,,,,
SPAC6F6.07c,-1.076695301,2.59E-15,-0.9239662,3.86E-18,,,,,,
SPAC6F6.08c,0.33207886,0.104316741,1.067721268,3.50E-13,,,,,,
SPAC6F6.10c,-1.041831925,6.70E-08,-0.887650263,1.43E-13,,,,,,
SPAC6F6.12,1.218381873,2.26E-07,1.489144223,7.06E-14,,,,,,
SPAC6F6.15,0.829482495,0.000244058,1.06531377,1.25E-09,,,,,,
SPAC6G10.03c,2.444978322,1.09E-74,2.821426474,8.27E-150,,,,,,
SPAC6G10.07,-0.523122914,0.000176334,-1.123667056,6.13E-21,,,,,,
SPAC6G10.08,-0.720842849,9.34E-06,-1.292037538,1.38E-28,,,,,,
SPAC6G9.01c,-1.021335288,0.007926884,-1.130065612,0.005957553,,,,,,
SPAC6G9.07c,-1.702837548,5.58E-17,-1.668483296,1.31E-22,,,,,,
SPAC6G9.16c,0.842857815,3.07E-05,1.273243264,7.06E-13,,,,,,
SPAC7D4.02c,-1.628622886,5.52E-17,-1.644509903,2.99E-18,,,,,,
SPAC7D4.03c,2.156704847,1.77E-63,1.488817336,4.79E-19,,,,,,
SPAC7D4.06c,-0.892760928,0.000516692,-1.281985893,1.37E-08,,,,,,
SPAC7D4.07c,-2.660847917,1.79E-74,-2.787574831,7.10E-116,,,,,,
SPAC7D4.09c,-1.750065659,1.97E-09,-1.368392628,2.86E-07,,,,,,
SPAC7D4.10,-1.136849607,2.65E-13,-1.004629174,7.13E-15,,,,,,
SPAC7D4.11c,-0.677416198,0.000367586,-1.208963632,5.46E-10,,,,,,
SPAC7D4.12c,1.428466039,1.08E-14,1.562884392,1.17E-30,,,,,,
SPAC7D4.13c,-3.045574917,6.98E-17,-3.357725811,6.19E-17,,,,,,
SPAC7D4.15c,-1.360564593,1.28E-05,-1.699574924,2.11E-07,,,,,,
SPAC806.04c,-0.827893447,3.60E-08,-1.267708234,2.24E-20,,,,,,
SPAC806.05,1.538987081,0.020708995,1.755307969,0.007556945,,,,,,
SPAC806.08c,-1.234857293,1.02E-07,-0.994313507,4.40E-06,,,,,,
SPAC821.04c,1.52448313,4.90E-29,1.671894395,7.29E-39,,,,,,
SPAC821.07c,-1.000882288,1.03E-07,-0.384446657,0.02327606,,,,,,
SPAC821.08c,-1.82494581,7.85E-25,-1.822353539,8.85E-28,,,,,,
SPAC821.09,-3.79773349,7.37E-92,-3.465054804,6.16E-124,,,,,,
SPAC821.13c,2.569329946,1.37E-65,2.196393709,1.87E-44,,,,,,
SPAC823.07,-1.574447905,4.22E-11,-1.603970365,1.25E-14,,,,,,
SPAC823.08c,-0.489098564,0.002945517,-1.304032932,5.33E-18,,,,,,
SPAC823.10c,-1.77744554,1.32E-09,-1.764558313,7.52E-12,,,,,,
SPAC823.13c,-1.456587829,1.39E-13,-1.757497985,7.57E-20,,,,,,
SPAC823.14,-2.471668336,1.64E-29,-2.371251299,1.14E-28,,,,,,
SPAC823.15,-2.414670292,3.17E-28,-1.830405131,2.96E-23,,,,,,
SPAC823.16c,1.154646855,2.76E-09,1.677442896,3.46E-25,,,,,,
SPAC824.03c,-1.035949962,0.000809415,-1.602533844,1.69E-13,,,,,,
SPAC824.08,2.258461892,5.96E-53,1.284221412,1.91E-16,,,,,,
SPAC869.01,1.036067299,0.023041961,4.64749018,1.72E-95,,,,,,
SPAC869.02c,0.682971052,0.004287027,1.087919333,1.60E-15,,,,,,
SPAC869.03c,10.89769229,5.60E-247,11.14930321,4.06E-289,,,,,,
SPAC869.04,12.31387359,4.06E-273,13.10320758,0,,,,,,
SPAC869.05c,-1.410094441,3.91E-11,1.515782391,6.08E-35,,,,,,
SPAC869.06c,9.466997161,2.11E-45,11.18713279,5.95E-66,,,,,,
SPAC869.07c,5.517998712,1.13E-66,5.219814976,5.09E-110,,,,,,
SPAC869.08,3.833399381,1.34E-38,5.040505742,4.23E-137,,,,,,
SPAC869.09,3.916780271,0.000891158,3.950423113,0.002768062,,,,,,
SPAC869.10c,2.237478923,2.79E-34,2.381216909,1.35E-39,,,,,,
SPAC890.04c,-1.050220147,2.29E-09,-1.769028755,2.13E-23,,,,,,
SPAC890.05,-1.245683404,0.252712847,-1.521337284,0.199114714,,,,,,
SPAC8C9.03,6.652949949,1.14E-253,6.043391744,6.36E-250,,,,,,
SPAC8C9.05,-1.364303843,0.299694366,-1.383255773,0.352190617,,,,,,
SPAC8C9.11,-0.987941832,6.38E-06,-1.266311034,7.97E-09,,,,,,
SPAC8C9.12c,1.427281675,6.84E-14,1.091522945,1.53E-14,,,,,,
SPAC8C9.14,1.182166952,5.21E-13,1.061863401,2.68E-18,,,,,,
SPAC8C9.16c,1.63606951,3.27E-20,1.09457905,7.37E-10,,,,,,
SPAC8E11.02c,-0.827449552,2.14E-08,-1.092233423,6.19E-24,,,,,,
SPAC8E11.07c,-1.799753494,1.76E-15,-0.899250087,3.15E-06,,,,,,
SPAC8E11.08c,-1.881435649,0.020416415,-0.017426855,0.981486718,,,,,,
SPAC8E11.10,-3.256804757,1.89E-69,-2.971995722,2.22E-101,,,,,,
SPAC8F11.04,-0.510245643,0.001313112,-1.347963913,4.53E-25,,,,,,
SPAC8F11.10c,1.040514331,2.05E-11,1.258744509,2.22E-31,,,,,,
SPAC9.02c,-2.685133045,1.12E-32,-3.051755007,7.10E-51,,,,,,
SPAC9.03c,1.379940502,3.47E-21,1.510233525,2.09E-54,,,,,,
SPAC9.12c,-2.461243025,0.001696974,-1.400235329,0.073000293,,,,,,
SPAC922.04,-0.988443426,6.29E-09,-2.121173567,2.65E-44,,,,,,
SPAC922.05c,-1.138663382,1.28E-05,1.089704054,2.19E-08,,,,,,
SPAC922.07c,1.651692841,5.49E-21,1.539163764,2.41E-19,,,,,,
SPAC926.02,-1.216058043,0.000303372,-1.737653262,9.15E-07,,,,,,
SPAC926.04c,-0.751161341,0.001581108,-1.183956103,1.89E-42,,,,,,
SPAC926.07c,-1.309581794,3.01E-11,-1.216734966,1.80E-11,,,,,,
SPAC926.08c,-0.668070229,7.09E-06,-1.251150198,6.56E-22,,,,,,
SPAC959.04c,-1.312532723,6.92E-06,-1.648655836,5.25E-09,,,,,,
SPAC977.01,-1.432272558,0.274529971,-1.461515994,0.322511664,,,,,,
SPAC977.07c,0.186165138,NA,6.230748269,2.93E-11,,,,,,
SPAC977.11,-1.639879704,0.018766521,-2.095261907,0.004903323,,,,,,
SPAC977.12,-4.002581328,1.28E-44,-2.97572895,2.05E-42,,,,,,
SPAC977.13c,1.979542176,4.98E-07,4.343714519,1.75E-79,,,,,,
SPAC977.14c,-0.239161489,0.289878506,1.458708278,1.92E-30,,,,,,
SPAC977.15,5.712658568,2.26E-79,6.421830968,3.97E-121,,,,,,
SPAC977.16c,4.465075368,3.31E-40,6.37170719,2.30E-24,,,,,,
SPAC977.17,3.423011721,1.59E-66,4.976801812,3.13E-220,,,,,,
SPAC9E9.02,6.532734972,8.07E-64,3.897747358,9.32E-136,,,,,,
SPAC9E9.03,1.658306098,8.94E-11,1.099594162,1.61E-34,,,,,,
SPAC9E9.05,0.677243567,0.004422659,1.167323434,4.26E-08,,,,,,
SPAC9E9.09c,1.583873885,2.73E-16,2.147126347,3.66E-52,,,,,,
SPAC9E9.13,-2.142228732,3.51E-34,-2.534439864,1.99E-134,,,,,,
SPAC9E9.17c,2.389567294,0.000430425,3.672501374,3.38E-11,,,,,,
SPAC9G1.02,1.289736626,2.74E-22,1.498836643,1.04E-54,,,,,,
SPAC9G1.04,-1.629913012,8.98E-11,-1.787301531,8.12E-14,,,,,,
SPAC9G1.08c,-1.421313532,1.22E-09,-1.254111549,1.10E-08,,,,,,
SPAC9G1.11c,-1.388393711,2.59E-15,-1.452097482,2.13E-19,,,,,,
SPAC9G1.13c,-1.98066068,1.56E-06,-2.338828233,4.04E-08,,,,,,
SPACUNK12.02c,2.107876238,2.46E-40,2.419632814,1.16E-73,,,,,,
SPACUNK4.10,-1.471510316,6.64E-18,-0.31987288,0.084940716,,,,,,
SPACUNK4.16c,2.738511417,6.74E-42,2.883576329,2.48E-162,,,,,,
SPACUNK4.19,2.873325264,3.28E-20,3.857163779,7.83E-59,,,,,,
SPAP11E10.02c,0.658572439,0.000196976,1.2675665,3.12E-16,,,,,,
SPAP14E8.02,-1.484631643,2.23E-07,-2.958823013,1.85E-124,,,,,,
SPAP14E8.04,0.508147898,0.096433581,1.01134514,9.77E-05,,,,,,
SPAP27G11.03,-2.384185696,7.49E-18,-2.174958181,1.94E-17,,,,,,
SPAP27G11.04c,-2.377264375,5.62E-25,-2.606528392,2.89E-30,,,,,,
SPAP27G11.06c,-1.381404559,2.42E-07,-1.663330765,1.84E-09,,,,,,
SPAP27G11.09c,-1.067615503,2.17E-10,-0.350188319,0.008707787,,,,,,
SPAP4C9.02,-1.035391386,5.18E-07,-1.421382863,3.03E-12,,,,,,
SPAP7G5.06,4.939172258,4.27E-169,4.547991037,1.48E-224,,,,,,
SPAP8A3.04c,2.845423464,7.11E-104,2.714355251,5.38E-148,,,,,,
SPAP8A3.08,-1.224513678,9.86E-11,-1.151659059,1.20E-17,,,,,,
SPAP8A3.10,-2.149470373,6.62E-18,-2.227867796,1.29E-23,,,,,,
SPAP8A3.11c,-2.537673457,1.10E-23,-1.704418375,5.04E-16,,,,,,
SPAP8A3.13c,-1.150401388,0.030886628,-2.057318435,0.001495072,,,,,,
SPAP8A3.14c,-1.018821055,2.81E-07,-1.494217279,3.10E-14,,,,,,
SPAPB15E9.06,0.922827702,0.005442154,1.469575985,1.88E-06,,,,,,
SPAPB17E12.11,-1.619092283,3.25E-22,-1.556275173,3.74E-18,,,,,,
SPAPB18E9.02c,0.956130132,6.07E-13,1.613137251,4.50E-49,,,,,,
SPAPB18E9.04c,1.695316855,3.22E-09,1.761697932,1.07E-31,,,,,,
SPAPB18E9.05c,-1.314127717,1.70E-18,-2.57285414,1.06E-71,,,,,,
SPAPB1A10.03,-2.651830922,3.95E-06,-2.622717449,1.23E-05,,,,,,
SPAPB1A10.04c,-0.702244314,0.003518238,-1.218086297,4.51E-10,,,,,,
SPAPB1A10.07c,1.598358515,9.01E-23,1.875742778,1.76E-35,,,,,,
SPAPB1A10.11c,-2.139450495,2.21E-17,-2.206595414,9.47E-19,,,,,,
SPAPB1A10.13,0.887147547,1.38E-06,1.109203457,1.79E-18,,,,,,
SPAPB1A10.14,2.562222318,2.81E-20,1.388115596,2.74E-16,,,,,,
SPAPB1A11.01,1.078899152,0.123583636,2.838123786,3.00E-10,,,,,,
SPAPB1E7.01c,-1.709843077,0.186005064,-1.740366643,0.226344261,,,,,,
SPAPB1E7.03,-0.434645637,0.005122229,-1.049664976,1.66E-16,,,,,,
SPAPB1E7.04c,-2.091712694,4.26E-46,-1.003063285,4.68E-21,,,,,,
SPAPB1E7.05,0.974094009,2.31E-08,1.082640119,2.53E-14,,,,,,
SPAPB1E7.07,3.134595732,1.96E-48,2.910932053,1.20E-127,,,,,,
SPAPB1E7.08c,2.060440742,2.42E-36,1.728248508,1.73E-28,,,,,,
SPAPB24D3.02c,1.006203716,2.49E-07,1.017306183,8.87E-10,,,,,,
SPAPB24D3.09c,1.732250272,6.34E-19,1.201357226,6.13E-22,,,,,,
SPAPB24D3.10c,1.111042999,2.01E-05,1.692052608,6.83E-14,,,,,,
SPAPB2B4.04c,3.769935474,3.45E-139,4.135070154,0,,,,,,
SPAPB2B4.07,2.239519726,3.40E-40,1.771355213,6.06E-51,,,,,,
SPAPB8E5.04c,1.627577794,3.30E-32,1.772199079,2.02E-41,,,,,,
SPAPB8E5.05,9.908871007,5.19E-304,7.731516806,5.63E-209,,,,,,
SPAPB8E5.09,-0.92232609,3.52E-09,-1.179861821,6.45E-23,,,,,,
SPAPJ691.02,6.183331197,2.94E-185,6.174504874,2.99E-285,,,,,,
SPAPJ695.02,0.757620265,0.580756612,3.861486438,1.42E-05,,,,,,
SPAPJ760.03c,-2.70693713,1.52E-14,-3.985216495,1.98E-130,,,,,,
SPAPYUG7.05,-1.977059259,7.78E-23,-2.477872513,1.88E-82,,,,,,
SPAPYUK71.03c,1.200085948,2.69E-18,1.004387788,8.42E-13,,,,,,
SPBC106.02c,1.01514091,0.001156422,1.253356937,9.23E-06,,,,,,
SPBC106.05c,-2.610552699,5.32E-44,-2.820324727,1.16E-64,,,,,,
SPBC106.06,-3.479605904,6.65E-06,-3.127623077,2.93E-05,,,,,,
SPBC106.08c,-1.647841041,0.101769009,-1.198553444,0.228757882,,,,,,
SPBC106.10,1.916885927,1.09E-45,1.587497698,1.26E-21,,,,,,
SPBC106.13,1.739356541,3.87E-29,2.281990998,1.25E-63,,,,,,
SPBC106.15,-1.716734281,4.32E-22,-1.981963361,1.35E-27,,,,,,
SPBC106.16,-1.281084286,1.98E-16,-1.417452308,3.05E-31,,,,,,
SPBC106.18,1.025238296,2.42E-06,1.180560269,9.59E-18,,,,,,
SPBC106.19,-0.667672667,0.000141137,-1.595769679,1.37E-18,,,,,,
SPBC1105.04c,-0.907833314,0.003921825,-1.566562975,8.10E-05,,,,,,
SPBC1105.06,-2.1593586,1.19E-05,-3.149895631,7.89E-07,,,,,,
SPBC1105.11c,1.232145706,4.74E-14,1.417917569,2.76E-38,,,,,,
SPBC1105.14,4.569072389,4.65E-119,4.705377595,6.84E-190,,,,,,
SPBC115.03,-1.406466442,3.22E-15,-1.785880145,1.17E-25,,,,,,
SPBC119.04,2.025158183,4.80E-06,2.057123953,2.10E-06,,,,,,
SPBC119.05c,3.136785622,7.18E-57,3.2466195,1.09E-218,,,,,,
SPBC119.07,1.030300569,6.66E-14,1.221260026,3.55E-18,,,,,,
SPBC119.11c,-0.703308962,1.85E-05,-1.032069344,2.24E-12,,,,,,
SPBC119.16c,-1.45413436,2.22E-09,-1.24557658,1.06E-08,,,,,,
SPBC119.17,-1.440733683,3.97E-21,-1.858987735,1.84E-43,,,,,,
SPBC1198.01,-1.718061436,0.146603575,-0.779824771,0.5301245,,,,,,
SPBC1198.02,-1.037000648,2.30E-06,-2.123932859,2.43E-16,,,,,,
SPBC1198.03c,-2.489967062,2.63E-18,-1.384754404,2.16E-09,,,,,,
SPBC1198.05,-1.946617674,1.24E-12,-2.713849829,2.18E-20,,,,,,
SPBC1198.13c,0.880538246,3.09E-06,1.350163225,3.47E-28,,,,,,
SPBC11B10.02c,-3.107718769,1.00E-10,-2.74386949,4.61E-09,,,,,,
SPBC11B10.03,-1.176903471,3.84E-07,-1.602294255,6.54E-13,,,,,,
SPBC11B10.04c,-1.079947587,0.02049213,-0.686327836,0.119370342,,,,,,
SPBC11B10.05c,-1.507700575,4.20E-08,-1.579564437,1.52E-09,,,,,,
SPBC11B10.10c,0.800093891,1.61E-06,1.030528356,1.42E-13,,,,,,
SPBC11C11.06c,2.465187436,3.27E-68,1.903322703,2.02E-49,,,,,,
SPBC11C11.11c,1.096229499,1.17E-11,1.216138926,1.38E-14,,,,,,
SPBC11G11.01,1.07464661,2.38E-09,1.596337715,9.00E-31,,,,,,
SPBC11G11.02c,-0.940689819,1.22E-05,-1.200009209,8.76E-11,,,,,,
SPBC1271.03c,-1.166745886,1.44E-09,-0.935933712,9.57E-09,,,,,,
SPBC1271.05c,1.910671523,2.91E-24,1.98410728,1.18E-53,,,,,,
SPBC1271.07c,1.042944006,0.338109933,2.608721141,0.001546585,,,,,,
SPBC1271.09,4.309808138,1.72E-181,3.372127876,8.26E-173,,,,,,
SPBC1289.01c,1.176307073,1.90E-18,1.296402262,1.44E-28,,,,,,
SPBC1289.03c,-0.956789458,1.59E-10,-1.474725357,2.15E-35,,,,,,
SPBC1289.04c,1.281404017,1.94E-24,1.234341634,4.61E-29,,,,,,
SPBC1289.05c,-1.489822578,5.25E-15,-0.922432303,2.76E-08,,,,,,
SPBC1289.07c,-0.894718759,9.87E-08,-1.197095659,1.90E-16,,,,,,
SPBC1289.12,-1.485171551,1.33E-08,-0.421956009,0.049887952,,,,,,
SPBC1289.14,-1.021749941,0.298041973,1.505433704,0.01315291,,,,,,
SPBC1289.15,1.870003392,1.09E-30,2.975589767,1.87E-112,,,,,,
SPBC1289.17,-1.482920256,0.004968689,1.809140926,4.10E-10,,,,,,
SPBC12C2.01c,-0.596636672,0.06907044,-1.160371644,2.06E-07,,,,,,
SPBC12C2.02c,0.962016027,4.91E-10,1.034474787,1.77E-18,,,,,,
SPBC12C2.03c,2.889889305,2.30E-66,2.618310516,4.32E-92,,,,,,
SPBC12C2.09c,-1.114714126,7.26E-06,-1.076043936,2.11E-06,,,,,,
SPBC12C2.10c,1.532054606,1.01E-28,1.641892968,3.56E-47,,,,,,
SPBC12C2.14c,1.097877528,NA,3.78585305,0.000536612,,,,,,
SPBC12D12.03,-0.590539958,5.00E-05,-1.202351329,1.53E-17,,,,,,
SPBC12D12.05c,-1.333347945,2.08E-13,-1.373159221,1.21E-13,,,,,,
SPBC12D12.06,-1.580186342,0.000391698,-1.480270192,0.000653667,,,,,,
SPBC12D12.07c,-2.618162218,2.17E-22,-2.517703489,1.80E-21,,,,,,
SPBC1347.11,-0.182963724,0.613181222,1.017664534,2.37E-05,,,,,,
SPBC1347.12,0.977144475,0.003577357,1.291041283,0.000101892,,,,,,
SPBC1347.13c,-1.938939636,2.63E-14,-1.890984958,2.45E-14,,,,,,
SPBC1348.08c,0.905338491,NA,5.782682856,3.76E-07,,,,,,
SPBC1348.11,0.506006171,0.715432326,7.395993691,1.27E-44,,,,,,
SPBC1348.12,0.268386899,0.521530321,4.042813134,4.70E-95,,,,,,
SPBC1348.14c,1.67631323,0.103247834,7.830508795,7.74E-65,,,,,,
SPBC13A2.02,-0.797055391,1.29E-07,-1.103533144,1.41E-16,,,,,,
SPBC13A2.03,-1.703771458,7.43E-20,-1.935759471,8.78E-46,,,,,,
SPBC13A2.04c,5.720399252,2.68E-254,6.233964716,2.44E-274,,,,,,
SPBC13E7.04,-1.420951514,1.88E-10,-1.374277453,1.35E-16,,,,,,
SPBC13E7.07,-1.007632112,0.26158429,-0.039712494,0.965300376,,,,,,
SPBC13G1.05,0.683498264,0.00147337,1.325516908,6.66E-14,,,,,,
SPBC13G1.08c,-1.001900144,8.93E-10,-1.233372924,5.34E-19,,,,,,
SPBC13G1.10c,1.653154638,3.95E-38,1.544316766,9.86E-42,,,,,,
SPBC146.01,1.879806732,1.60E-49,2.504745204,3.10E-141,,,,,,
SPBC146.08c,-1.274345014,6.41E-06,-0.9236521,0.000463097,,,,,,
SPBC146.12,-1.247556508,1.15E-11,-1.545220219,1.72E-23,,,,,,
SPBC14C8.01c,1.756827157,1.43E-29,2.537639054,2.42E-108,,,,,,
SPBC14C8.02,1.823558435,1.05E-25,1.309021095,1.42E-25,,,,,,
SPBC14C8.07c,-2.224612538,1.09E-08,-2.724797552,1.70E-23,,,,,,
SPBC14C8.10,-1.502851555,4.33E-11,-1.061049061,3.04E-08,,,,,,
SPBC14C8.12,-1.038943591,0.001701611,-1.98213515,4.41E-07,,,,,,
SPBC14C8.15,-1.063158352,3.14E-07,-1.302654611,1.09E-10,,,,,,
SPBC14F5.01,-2.369306736,8.21E-13,-2.713091926,1.56E-14,,,,,,
SPBC14F5.05c,-2.826848643,1.14E-74,-2.386693223,3.47E-123,,,,,,
SPBC14F5.11c,0.984603723,1.46E-11,1.473631585,3.04E-37,,,,,,
SPBC1539.05,-1.345381781,2.16E-11,-1.319342819,8.68E-13,,,,,,
SPBC1539.06,-2.192078685,1.48E-40,-1.95360602,3.29E-51,,,,,,
SPBC15C4.01c,-1.320381301,5.04E-10,-1.414704909,2.61E-12,,,,,,
SPBC15C4.06c,2.475564936,2.34E-40,1.712534863,1.43E-19,,,,,,
SPBC15D4.02,3.814181322,2.65E-182,3.927555711,8.19E-210,,,,,,
SPBC15D4.04,-1.136594211,0.000137803,-0.336091089,0.10209549,,,,,,
SPBC15D4.07c,0.644575469,0.000120661,1.130522723,3.06E-18,,,,,,
SPBC15D4.13c,-1.831294433,0.00628576,-1.026823438,0.101744441,,,,,,
SPBC15D4.14,-0.710406531,0.01981274,-1.344518594,1.11E-05,,,,,,
SPBC1604.01,0.299670694,0.225242593,1.029923194,5.32E-08,,,,,,
SPBC1604.06c,-0.660851922,5.91E-05,-1.461624568,8.02E-23,,,,,,
